Part_Number,Alt_Code,Supplier_Code,Manufacturer,Product_Type,Description,Micron,Media,Max_Temp_F,Max_PSI,Flow_Rate,Efficiency,Application,Industry,In_Stock,Qty_On_Hand,Price
,ASP-AZ15,,,Filter Element,AZ15 Proprietary Media Element,,Various,200.0,150.0,20 GPM,,Industrial,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,ASP-AZ30,,,Filter Element,AZ30 Proprietary Media Element,,Various,200.0,150.0,20 GPM,,Industrial,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,ASP-CE15,,,Filter Element,AS15 Carbon Element,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-CE30,,,Filter Element,AS30 Carbon Element,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-EC05,,,Filter Element,AS15 Expansion Chamber Element,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-EC08,,,Filter Element,"Expansion Chamber Element for PS20, PS40, PS90",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT120,,,Filter Element,"AS120 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT15,,,Filter Element,"AS15 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT180,,,Filter Element,"AS180 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT240,,,Filter Element,"AS240 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT30,,,Filter Element,"AS30 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT60,,,Filter Element,"AS60 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-KIT90,,,Filter Element,"AS90 Expansion Chamber Element/Separation Filter/_x000D_
Activated Carbon Media",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-PF15,,,Filter Element,AS15 Pre-adsorption Element,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,ASP-PF30,,,Filter Element,AS30 Pre-adsorption Element,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,CE1,,,Filter Element,Carbon Element for PS1,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,CE20,,,Filter Element,Carbon Element for PS20,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,CE40,,,Filter Element,Carbon Element for PS40,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,PZM-05,,,Filter Element,5 Gallon Filter Module,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,PZM-15,,,Filter Element,15 Gallon Filter Module,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,PZM-30,,,Filter Element,30 Gallon Filter Module,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,PZM-55,,,Filter Element,55 Gallon Filter Module,,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,YS1014,,,Filter Element,"Y-Strainer, 1/4""",,Various,200.0,150.0,20 GPM,,Industrial,,No,0.0,0.0
,054000-000064,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054000-000070,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054000-000071,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054000-000072,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054000-000073,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054001-000053,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054001-000065,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054001-000066,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054001-000067,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,054001-000068,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000002,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000004,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000006,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
055000-000007,055000-000007,055000000007,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000008,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
055000-000009,055000-000009,05500-000009,Amiad Filtration Systems,Screen Filter,"Mini Sigma, 2in w/SS screen, ADI-P Contr",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
